airline,origin,departure,stops,arrival,destination,class,duration,days_remain,price
Vistara,Mumbai,Afternoon,one,Night,Kolkata,Business,8.1,33,823.7
Vistara,Mumbai,Afternoon,one,Night,Delhi,Business,5.6,26,607.0
Air_India,Bangalore,Evening,one,Early_Morning,Chennai,Economy,36.8,31,58.8
Air_India,Mumbai,Morning,one,Night,Kolkata,Economy,10.2,41,82.6
Vistara,Delhi,Morning,one,Night,Bangalore,Business,12.1,11,651.1
Vistara,Chennai,Night,one,Morning,Bangalore,Economy,14.2,17,96.1
Air_India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.0,43,44.0
Indigo,Delhi,Morning,one,Afternoon,Chennai,Economy,5.4,43,23.4
Vistara,Kolkata,Morning,one,Night,Chennai,Economy,10.0,17,148.6
Vistara,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,7.0,6,128.0
Air_India,Delhi,Afternoon,one,Early_Morning,Kolkata,Business,15.8,14,655.6
Indigo,Delhi,Early_Morning,one,Evening,Hyderabad,Economy,10.0,26,61.7
Air_India,Chennai,Evening,one,Afternoon,Kolkata,Economy,21.5,4,199.1
Air_India,Delhi,Morning,one,Night,Hyderabad,Business,10.8,45,485.9
Air_India,Mumbai,Night,one,Morning,Delhi,Economy,12.8,4,112.2
Vistara,Delhi,Evening,one,Early_Morning,Hyderabad,Business,15.1,38,539.2
Air_India,Hyderabad,Night,one,Evening,Delhi,Business,22.6,49,487.9
Vistara,Kolkata,Early_Morning,one,Afternoon,Mumbai,Business,6.8,14,650.8
Air_India,Delhi,Evening,one,Early_Morning,Chennai,Economy,13.3,4,131.6
Air_India,Chennai,Afternoon,one,Early_Morning,Hyderabad,Economy,16.3,41,44.3
Vistara,Delhi,Morning,one,Night,Mumbai,Business,11.2,27,607.1
Air_India,Delhi,Evening,one,Morning,Kolkata,Business,14.8,37,495.4
Vistara,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,13.2,3,174.4
GO_FIRST,Mumbai,Afternoon,one,Night,Hyderabad,Economy,10.2,41,44.7
GO_FIRST,Kolkata,Morning,one,Evening,Mumbai,Economy,8.8,46,62.9
Vistara,Chennai,Evening,one,Evening,Kolkata,Business,26.4,43,651.6
Air_India,Kolkata,Evening,one,Evening,Mumbai,Economy,25.1,5,202.6
Vistara,Delhi,Morning,one,Night,Mumbai,Business,11.7,9,607.1
AirAsia,Delhi,Night,one,Morning,Kolkata,Economy,12.2,21,28.3
Vistara,Mumbai,Night,one,Evening,Chennai,Economy,18.4,24,49.7
Indigo,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.2,26,27.5
GO_FIRST,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,12.1,12,48.7
Air_India,Bangalore,Early_Morning,two_or_more,Evening,Mumbai,Economy,13.5,10,137.1
AirAsia,Bangalore,Afternoon,two_or_more,Night,Kolkata,Economy,10.3,4,59.1
Air_India,Kolkata,Evening,one,Morning,Mumbai,Economy,13.2,19,72.7
GO_FIRST,Mumbai,Morning,one,Evening,Delhi,Economy,7.5,13,67.9
GO_FIRST,Hyderabad,Night,one,Morning,Bangalore,Economy,10.3,32,71.4
Vistara,Hyderabad,Afternoon,one,Morning,Delhi,Business,19.2,4,496.0
Vistara,Delhi,Morning,one,Early_Morning,Hyderabad,Economy,21.5,17,65.9
Indigo,Hyderabad,Evening,zero,Evening,Mumbai,Economy,1.5,7,56.3
Indigo,Hyderabad,Morning,zero,Afternoon,Kolkata,Economy,2.1,15,70.0
Indigo,Hyderabad,Evening,one,Night,Kolkata,Economy,5.0,45,23.5
Vistara,Bangalore,Early_Morning,one,Evening,Delhi,Business,13.1,12,575.1
Vistara,Kolkata,Evening,one,Night,Chennai,Business,28.0,20,639.3
Vistara,Kolkata,Evening,two_or_more,Early_Morning,Mumbai,Business,13.2,40,805.6
Indigo,Mumbai,Evening,zero,Night,Chennai,Economy,2.1,19,34.3
Air_India,Mumbai,Evening,zero,Night,Delhi,Business,2.2,12,252.8
SpiceJet,Delhi,Morning,one,Afternoon,Kolkata,Economy,4.9,28,108.6
GO_FIRST,Bangalore,Morning,zero,Morning,Mumbai,Economy,1.7,16,55.4
Vistara,Kolkata,Morning,one,Late_Night,Delhi,Economy,13.8,46,73.8
Vistara,Delhi,Evening,one,Evening,Kolkata,Economy,23.1,13,157.9
Vistara,Kolkata,Evening,one,Night,Bangalore,Economy,25.7,6,141.5
Indigo,Bangalore,Night,zero,Night,Mumbai,Economy,2.0,24,26.4
Air_India,Chennai,Evening,one,Night,Mumbai,Economy,28.2,1,295.0
Indigo,Delhi,Evening,one,Late_Night,Bangalore,Economy,9.2,36,38.3
Vistara,Kolkata,Evening,one,Early_Morning,Hyderabad,Economy,14.2,19,86.5
GO_FIRST,Mumbai,Night,one,Morning,Hyderabad,Economy,9.7,23,37.5
Air_India,Mumbai,Morning,one,Evening,Hyderabad,Economy,9.3,20,52.5
Vistara,Mumbai,Evening,one,Morning,Bangalore,Economy,15.1,28,81.5
Vistara,Chennai,Afternoon,one,Morning,Bangalore,Business,20.3,37,504.1
Vistara,Delhi,Early_Morning,one,Evening,Kolkata,Economy,12.4,36,82.5
Air_India,Bangalore,Morning,two_or_more,Night,Hyderabad,Economy,13.2,15,179.1
Vistara,Hyderabad,Early_Morning,one,Afternoon,Delhi,Economy,6.5,46,66.5
Vistara,Chennai,Early_Morning,one,Evening,Delhi,Economy,12.8,22,64.0
Air_India,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,6.3,10,88.8
Vistara,Chennai,Evening,one,Morning,Mumbai,Economy,18.2,46,47.0
Indigo,Kolkata,Early_Morning,one,Morning,Bangalore,Economy,4.7,6,163.3
Indigo,Kolkata,Morning,zero,Afternoon,Bangalore,Economy,2.8,37,45.9
Indigo,Kolkata,Early_Morning,one,Morning,Hyderabad,Economy,5.2,22,65.1
Air_India,Hyderabad,Night,one,Night,Mumbai,Economy,26.6,10,125.2
Air_India,Delhi,Evening,one,Afternoon,Kolkata,Business,19.4,27,369.4
Air_India,Mumbai,Morning,one,Night,Kolkata,Economy,12.3,27,56.8
Vistara,Chennai,Morning,one,Evening,Hyderabad,Business,6.2,35,587.6
Vistara,Delhi,Morning,zero,Morning,Bangalore,Business,2.8,24,375.2
Vistara,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.5,22,71.9
SpiceJet,Chennai,Afternoon,one,Afternoon,Mumbai,Economy,23.6,17,127.6
GO_FIRST,Kolkata,Afternoon,one,Night,Delhi,Economy,11.0,31,72.2
Air_India,Hyderabad,Afternoon,one,Night,Delhi,Business,7.5,10,509.1
Air_India,Kolkata,Morning,zero,Afternoon,Mumbai,Economy,2.8,20,42.5
Air_India,Mumbai,Evening,one,Morning,Bangalore,Economy,13.9,33,69.5
GO_FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.2,39,27.5
Air_India,Kolkata,Night,one,Morning,Mumbai,Economy,13.7,46,63.1
Vistara,Delhi,Evening,one,Evening,Kolkata,Business,24.1,25,697.2
Indigo,Bangalore,Morning,one,Evening,Kolkata,Economy,7.8,28,59.1
Air_India,Mumbai,Morning,one,Afternoon,Bangalore,Business,25.7,24,485.9
Indigo,Chennai,Morning,one,Evening,Mumbai,Economy,6.7,5,112.1
Air_India,Bangalore,Evening,one,Afternoon,Chennai,Business,18.8,43,689.7
Vistara,Delhi,Early_Morning,one,Evening,Kolkata,Business,13.9,46,839.2
Air_India,Hyderabad,Early_Morning,one,Evening,Kolkata,Business,12.7,33,590.5
Vistara,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,9.5,34,81.5
Indigo,Mumbai,Morning,one,Evening,Delhi,Economy,7.8,12,90.3
Indigo,Mumbai,Morning,one,Evening,Kolkata,Economy,6.7,13,126.6
Vistara,Delhi,Night,one,Morning,Chennai,Economy,12.2,20,56.9
Vistara,Chennai,Night,zero,Night,Delhi,Economy,2.8,21,26.6
Vistara,Mumbai,Evening,one,Night,Chennai,Economy,26.7,41,61.1
Indigo,Delhi,Morning,zero,Morning,Bangalore,Economy,2.9,17,51.4
Air_India,Bangalore,Morning,one,Afternoon,Hyderabad,Business,24.6,11,427.5
Vistara,Delhi,Morning,one,Night,Bangalore,Economy,10.6,31,51.3
AirAsia,Bangalore,Night,one,Late_Night,Mumbai,Economy,5.7,17,59.1
Vistara,Delhi,Early_Morning,one,Afternoon,Hyderabad,Economy,4.8,43,70.5
Vistara,Kolkata,Evening,one,Morning,Chennai,Economy,15.2,47,80.2
GO_FIRST,Hyderabad,Morning,zero,Afternoon,Delhi,Economy,2.3,46,26.0
Air_India,Chennai,Early_Morning,one,Evening,Delhi,Business,11.9,30,516.0
Vistara,Mumbai,Night,one,Morning,Delhi,Business,12.8,41,586.7
AirAsia,Bangalore,Evening,zero,Evening,Chennai,Economy,1.2,36,18.3
Air_India,Hyderabad,Morning,one,Morning,Chennai,Business,26.5,19,466.4
GO_FIRST,Bangalore,Evening,one,Late_Night,Delhi,Economy,5.8,24,46.0
Air_India,Bangalore,Early_Morning,one,Night,Mumbai,Economy,16.0,48,75.1
Vistara,Bangalore,Morning,zero,Afternoon,Delhi,Economy,2.7,41,51.4
Air_India,Bangalore,Late_Night,one,Night,Hyderabad,Business,18.6,32,507.4
SpiceJet,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,13.1,11,145.5
Vistara,Mumbai,Evening,one,Evening,Chennai,Business,21.8,16,732.9
Vistara,Delhi,Afternoon,one,Morning,Mumbai,Business,19.2,29,471.4
Air_India,Chennai,Morning,two_or_more,Evening,Bangalore,Economy,34.0,7,146.3
Vistara,Chennai,Night,one,Morning,Kolkata,Business,13.2,43,626.9
Air_India,Delhi,Evening,one,Evening,Bangalore,Economy,22.5,14,88.0
Vistara,Hyderabad,Evening,one,Morning,Bangalore,Business,15.0,37,722.6
Vistara,Mumbai,Early_Morning,one,Evening,Kolkata,Business,13.6,36,587.0
Vistara,Kolkata,Morning,two_or_more,Morning,Chennai,Economy,22.6,22,209.0
Air_India,Kolkata,Afternoon,one,Morning,Delhi,Business,18.2,46,549.1
Vistara,Bangalore,Evening,one,Evening,Hyderabad,Economy,21.3,22,71.5
Air_India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.8,10,140.4
Air_India,Kolkata,Evening,one,Night,Delhi,Business,26.3,30,661.7
Vistara,Hyderabad,Night,one,Evening,Mumbai,Business,19.9,6,616.1
Vistara,Delhi,Morning,one,Early_Morning,Hyderabad,Business,22.3,14,526.4
Vistara,Kolkata,Morning,one,Evening,Hyderabad,Economy,6.8,30,115.8
Air_India,Chennai,Early_Morning,one,Night,Hyderabad,Business,17.4,29,586.4
Air_India,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,15.7,33,49.8
Indigo,Bangalore,Morning,zero,Afternoon,Chennai,Economy,1.2,31,22.0
AirAsia,Delhi,Morning,one,Evening,Chennai,Economy,7.8,21,22.8
Vistara,Hyderabad,Morning,one,Late_Night,Delhi,Business,15.7,41,592.4
Indigo,Delhi,Early_Morning,one,Morning,Kolkata,Economy,5.5,12,68.0
Vistara,Bangalore,Morning,one,Night,Mumbai,Economy,11.5,11,128.0
Air_India,Bangalore,Afternoon,one,Night,Mumbai,Economy,31.4,14,164.1
Vistara,Delhi,Evening,one,Evening,Kolkata,Economy,21.0,34,75.1
Vistara,Delhi,Evening,one,Early_Morning,Hyderabad,Economy,12.0,35,65.9
Air_India,Hyderabad,Night,one,Night,Kolkata,Business,25.5,18,590.5
GO_FIRST,Hyderabad,Night,one,Early_Morning,Mumbai,Economy,11.7,45,43.0
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Business,7.3,38,728.8
GO_FIRST,Mumbai,Night,zero,Night,Kolkata,Economy,2.6,34,51.4
Air_India,Kolkata,Night,zero,Night,Delhi,Business,2.5,13,325.6
Air_India,Delhi,Evening,one,Morning,Mumbai,Business,15.8,20,582.1
Vistara,Bangalore,Early_Morning,one,Evening,Delhi,Economy,11.4,19,46.9
Air_India,Chennai,Night,one,Night,Kolkata,Business,26.0,20,632.4
Vistara,Kolkata,Night,one,Evening,Hyderabad,Business,23.5,5,595.8
Indigo,Delhi,Evening,zero,Night,Hyderabad,Economy,2.3,36,34.4
Vistara,Kolkata,Night,one,Morning,Bangalore,Business,14.4,24,696.4
Vistara,Bangalore,Evening,one,Morning,Kolkata,Business,15.2,36,591.8
Vistara,Hyderabad,Night,one,Morning,Bangalore,Economy,13.2,39,62.1
Vistara,Chennai,Early_Morning,one,Evening,Delhi,Economy,33.5,8,159.9
Air_India,Hyderabad,Evening,one,Morning,Chennai,Economy,16.7,14,150.4
GO_FIRST,Hyderabad,Night,one,Morning,Mumbai,Economy,10.6,48,47.6
Air_India,Bangalore,Evening,one,Evening,Delhi,Business,24.0,47,485.6
Vistara,Bangalore,Night,one,Early_Morning,Mumbai,Economy,10.8,35,75.0
Air_India,Mumbai,Early_Morning,one,Afternoon,Kolkata,Economy,7.5,40,56.8
Vistara,Bangalore,Early_Morning,one,Morning,Chennai,Economy,25.9,45,70.4
GO_FIRST,Hyderabad,Night,one,Morning,Mumbai,Economy,11.8,11,50.8
Vistara,Bangalore,Morning,one,Afternoon,Delhi,Economy,6.0,41,46.9
Air_India,Mumbai,Afternoon,one,Morning,Bangalore,Economy,17.5,49,74.3
Indigo,Kolkata,Early_Morning,one,Morning,Hyderabad,Economy,6.4,17,74.1
Vistara,Mumbai,Early_Morning,zero,Morning,Kolkata,Economy,2.7,41,51.4
Air_India,Kolkata,Early_Morning,two_or_more,Afternoon,Mumbai,Economy,5.8,15,152.0
AirAsia,Mumbai,Night,one,Morning,Chennai,Economy,12.3,39,21.6
GO_FIRST,Bangalore,Afternoon,one,Night,Delhi,Economy,8.5,43,39.6
AirAsia,Mumbai,Night,one,Late_Night,Delhi,Economy,7.2,38,26.7
Vistara,Delhi,Evening,one,Night,Hyderabad,Economy,4.8,22,65.8
Air_India,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Business,6.3,22,524.0
Vistara,Chennai,Evening,one,Morning,Bangalore,Business,18.7,7,688.2
Indigo,Delhi,Evening,one,Late_Night,Chennai,Economy,4.9,46,38.7
Air_India,Bangalore,Evening,one,Morning,Hyderabad,Economy,18.1,45,70.8
Air_India,Hyderabad,Evening,two_or_more,Morning,Mumbai,Economy,14.9,11,125.2
Air_India,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.5,19,28.3
Air_India,Hyderabad,Afternoon,one,Afternoon,Mumbai,Business,23.7,26,342.1
Indigo,Bangalore,Morning,one,Evening,Delhi,Economy,6.8,41,60.9
Indigo,Chennai,Morning,one,Afternoon,Hyderabad,Economy,4.8,34,12.6
Vistara,Mumbai,Morning,one,Evening,Chennai,Business,7.6,36,732.9
Vistara,Delhi,Evening,one,Evening,Mumbai,Business,26.1,48,503.4
Air_India,Kolkata,Evening,one,Morning,Delhi,Economy,14.0,23,71.3
GO_FIRST,Kolkata,Evening,one,Night,Mumbai,Economy,7.2,14,90.9
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.8,19,88.9
Air_India,Mumbai,Morning,one,Morning,Kolkata,Economy,25.8,26,69.5
GO_FIRST,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,8.8,42,46.0
Vistara,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,9.5,44,75.0
Vistara,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.0,20,56.7
GO_FIRST,Hyderabad,Afternoon,one,Morning,Kolkata,Economy,20.7,49,65.1
Vistara,Delhi,Early_Morning,one,Evening,Bangalore,Business,13.5,14,802.1
Air_India,Mumbai,Early_Morning,one,Night,Chennai,Economy,15.6,33,50.4
GO_FIRST,Delhi,Evening,zero,Night,Kolkata,Economy,2.3,34,45.7
Vistara,Mumbai,Evening,one,Night,Delhi,Economy,6.2,44,69.9
Vistara,Hyderabad,Night,one,Morning,Mumbai,Business,14.6,5,691.5
GO_FIRST,Kolkata,Afternoon,one,Night,Bangalore,Economy,7.1,28,74.1
Air_India,Delhi,Night,one,Night,Hyderabad,Economy,25.0,7,150.7
Indigo,Kolkata,Morning,zero,Afternoon,Bangalore,Economy,2.8,20,44.1
Air_India,Hyderabad,Night,one,Afternoon,Bangalore,Business,15.4,32,646.3
Indigo,Kolkata,Afternoon,one,Night,Hyderabad,Economy,7.8,42,53.6
Air_India,Hyderabad,Night,one,Evening,Delhi,Economy,20.0,40,50.1
Vistara,Chennai,Night,zero,Night,Mumbai,Business,2.1,6,272.2
Air_India,Hyderabad,Early_Morning,one,Night,Chennai,Economy,15.3,19,77.1
